indices,sentence_id,word_id,sentence,word,annotation_0,annotation_1
771,36,771,"Ang sangkatauhan ay hindi na malungkot ; sa lupa , hindi na dumadaing ang mga tao sa pagiging walang kabuluhan ng buhay , at humihinto mula sa lahat ng pakikitungo sa buhay .",humihinto,FIL,FIL
805,38,805,Nakikiisa kami sa KWF sa adhikain nitong linangin at palaganapin ang paggamit ng wikang Filipino sa bansa .,Filipino,OTH,OTH
823,39,823,Tinanggap ng mga Romano ang maraming bathalang Griyego ngunit binigyan ng karampatang pangalan sa Latin .,Latin,OTH,OTH
827,40,827,bwisit ka shoma dahil sayo di ako makapagkape,shoma,OTH,OTH
899,45,899,"sobra na talaga kalamidad na dumarating sa ating bansa , kawawa nman mga kababayan ko , patuloy tayo manalig sa Dios mga kabayan , kc wala na takot sa Dios ang iba lalo mga opisyal ng gobyerno natin .",Dios,FIL,FIL
908,45,908,"sobra na talaga kalamidad na dumarating sa ating bansa , kawawa nman mga kababayan ko , patuloy tayo manalig sa Dios mga kabayan , kc wala na takot sa Dios ang iba lalo mga opisyal ng gobyerno natin .",Dios,FIL,FIL
937,47,937,Wa epek na saming mga marcos loyalist ang lahat2 ng pannra nla ky bbm at gicing nrin amg sambayanang pilipino sa katthanan .,lahat2,FIL,FIL
1010,50,1010,"Hell , maybe if shit turned out super well baka makasali ako sa mga nagpopost ng new custom builds dito .",nagpopost,CS,CS
1036,52,1036,hindi mo alam ang buhay at sakripisyo ng isang ina OFW din ako s matagal n panahon pero minahal at iginalang ako ng mga anak ko !,s,FIL,FIL
1038,52,1038,hindi mo alam ang buhay at sakripisyo ng isang ina OFW din ako s matagal n panahon pero minahal at iginalang ako ng mga anak ko !,n,FIL,FIL
1057,53,1057,Alangan punta ako dyan ng di tayo okay ?,okay,ENG,ENG
1061,54,1061,Ganda ng name ko tas tatawagin mo akong pogi ?,name,ENG,ENG
1112,57,1112,"Lumabas ako sa bahay para bawas stress naman , tas pag labas ko nakatapak ako ng tae haahahahahahahaha",stress,ENG,ENG
1182,61,1182,"Asahan na ang matitinding talakayan sa usaping pag-ibig at pangangaliwa , panggagantso , at iba pa sa pagsisimula ng Amy-nin para rin magbigay-linaw at gabay sa mga manonood .",Amy-nin,OTH,OTH
1249,66,1249,mag-aasawa muna ako ng mafia ha,ha,OTH,OTH
1261,67,1261,"Noong dekada , ipinakilala ng mga batikero na naglipat patungo sa Malaya ang paggamit ng pagkit at blokeng tanso sa silangang baybayin nito .",Malaya,OTH,OTH
1338,73,1338,"Arestado ang isang 28-anyos na obrero sa Bacoor City , Cavite nitong Miyerkoles ng hapon nang maaktuhang tangay ang isang cast iron manhole para sa Cavite Expressway ( CAVITEX ) .",28-anyos,FIL,FIL
1403,77,1403,Nakakairita yung mga ganito .,.,OTH,OTH
1454,81,1454,Kung ako kay ate girl magpost pa lalo ng mga pro-BBM post,girl,ENG,ENG
1466,82,1466,Takot na ang mga dilawan Kay bbm,dilawan,OTH,OTH
1476,83,1476,Nakakaumay nakakapanghina gumising / matulog ng ganto awit,awit,FIL,FIL
1507,84,1507,"Bentang-benta nga sa TikTok ang mga paandar ni Angela , lalo na ang unfinished original song niyang Ako Naman Muna , na release na ang buong bersyon ngayong Biyernes ( March 5 ) .",March,ENG,ENG
1515,85,1515,"Aabangan ko to sa saturday , bet ko itong episode ng",saturday,ENG,ENG
1516,85,1516,"Aabangan ko to sa saturday , bet ko itong episode ng",",",OTH,OTH
1517,85,1517,"Aabangan ko to sa saturday , bet ko itong episode ng",bet,ENG,ENG
1605,89,1605,Nasa point na ako na ayaw ko na mag isip anong mangyayari sa Bazinga MV kasi always naman susurprisahin ako ng esbi for sure mamaya ulit SB19 BAZINGA MAMAYA,Bazinga,OTH,OTH
1619,89,1619,Nasa point na ako na ayaw ko na mag isip anong mangyayari sa Bazinga MV kasi always naman susurprisahin ako ng esbi for sure mamaya ulit SB19 BAZINGA MAMAYA,BAZINGA,OTH,OTH
1624,90,1624,Aalis ako ng Pilipinas ng walang plano .,Pilipinas,OTH,OTH
1673,92,1673,"Umabot na sa 421 , 723 na overseas Filipino workers ( OFWs ) ang naasistihan sa ilalim ng Hatid-Tulong Program .",Hatid-Tulong,OTH,OTH
1721,95,1721,Nhihirapan ako feeling ko hnd normal ang buhay ko kc palagi sila nasunod saken .,normal,ENG,ENG
1744,96,1744,Dapat sila ang magtolongan pag NASA ibang Bansa . tama ksi ang ibang Pinoy magseselosan .,Pinoy,FIL,FIL
1748,97,1748,Sorry alam Kong nasaktan ko kayo sa mga nasabi ko sobrang naiinis lang talaga ako sa sarili ko sana maintindihan nyoko sorry,alam,FIL,FIL
1842,101,1842,Kung ngbabayad sana ng taxes ang abs cbn di sna bka andyn pa sila mapapanood pa natin .,ang,FIL,FIL
1982,109,1982,"Siguro sa isang linggo tatlong araw lang na merong dumadating so mahihirapan talaga , ""  ani Rosendo So , chairman ng SINAG Sabi rin ng DA na patuloy nilang hinihimok ang mga hog raiser at trader na magdala ng mga baboy sa Metro Manila dahil sagot naman ng ahensiya ang transport .",so,ENG,ENG
2022,109,2022,"Siguro sa isang linggo tatlong araw lang na merong dumadating so mahihirapan talaga , ""  ani Rosendo So , chairman ng SINAG Sabi rin ng DA na patuloy nilang hinihimok ang mga hog raiser at trader na magdala ng mga baboy sa Metro Manila dahil sagot naman ng ahensiya ang transport .",transport,ENG,ENG
2075,113,2075,Tagal mag 5 gusto ko na panoorin mv ng aespaaaaa,mv,OTH,OTH
2128,115,2128,Tas pag na PM magtatanong uoe ng details .,uoe,OTH,OTH
2133,116,2133,ritwal reveal po sa mga pinapayagan magkulay ng buhok,reveal,ENG,ENG
2309,121,2309,"Bukod sa MRT-3 , nagkakaloob rin ng libreng pamasahe para sa mga vaccinated APORs sa ECQ period ang LRT-2 at ang Philippine National Railways ( PNR ) .",Philippine,OTH,OTH
2331,123,2331,Maganda ba ang work ethic ng player sa practice ?,work,ENG,ENG
2332,123,2332,Maganda ba ang work ethic ng player sa practice ?,ethic,ENG,ENG
2366,125,2366,"Ayon kay Valenzuela Mayor Rex Gatchalian , umabo simula 25 hanggang 50 porsiyento ng mga residente sa lugar ang nagpositibo sa COVID-19 , kaya napagpasyahan na isailalim ang lugar sa lockdown .",Mayor,ENG,ENG
2395,126,2395,sanaol kay dusty 2nd time makasama sa mv ng esbi,sanaol,CS,CS
2397,126,2397,sanaol kay dusty 2nd time makasama sa mv ng esbi,dusty,ENG,ENG
2398,126,2398,sanaol kay dusty 2nd time makasama sa mv ng esbi,2nd,OTH,OTH
2404,126,2404,sanaol kay dusty 2nd time makasama sa mv ng esbi,esbi,OTH,OTH
2412,127,2412,ngayon ka magdesisyon kung oorder ka ng set @ self,set,ENG,ENG
2511,131,2511,"Sobra na tama na ang corruption lubog na lubog na ang Pilipinas , matakot sana sa Diyos mga nasa gobyerno na walang ginawa kundi magpayaman",Pilipinas,OTH,OTH
2547,133,2547,"Ang mahal kasi ng galing sa mga kilalang brands , eh bihira ko lang naman gagamitin .",eh,FIL,FIL
2579,134,2579,"Ang isinabuhay ni Job sa panahon ng kanyang buong buhay at ang kanyang kapansin pansin na tagumpay laban kay Satanas ay magpakailanman na itatangi ng Diyos , at ang kanyang pagka-perpekto at pagkamatuwid , at takot sa Diyos ay igagalang at tutularan ng mga henerasyon na darating .",Diyos,FIL,FIL
2591,134,2591,"Ang isinabuhay ni Job sa panahon ng kanyang buong buhay at ang kanyang kapansin pansin na tagumpay laban kay Satanas ay magpakailanman na itatangi ng Diyos , at ang kanyang pagka-perpekto at pagkamatuwid , at takot sa Diyos ay igagalang at tutularan ng mga henerasyon na darating .",Diyos,FIL,FIL
2700,139,2700,Madami ang nangangarap maging ako pero di nila alm mung ano setwasyon ko ngaun,alm,FIL,FIL
2706,140,2706,Diman nato mahatag ang pamilya na gusto niya .,Diman,FIL,FIL
2708,140,2708,Diman nato mahatag ang pamilya na gusto niya .,mahatag,FIL,FIL
2749,143,2749,Ang isa sa mga model na pwedeng makisabay sa intertional scene ay ang CM Aqua S10 Pro .,Aqua,ENG,ENG
2824,149,2824,"Ang naturang 59-anyos na lola ang unang COVID-19 patient sa Bian City , Laguna , at gumaling sa sakit ilang araw matapos na ipagdiwang kaniyang kaarawan .",59-anyos,FIL,FIL
2899,151,2899,Sinabi pa niya ; Hangad kong ibalik ang mapagkaisang paglilingkod na magbubuklod sa ating bansa .,mapagkaisang,FIL,FIL
2964,155,2964,ay pwede to nangaliwa yung asawa ko eh,eh,OTH,OTH
2978,156,2978,sa nakapulot ng hikaw ni lilyme di nyo rin masasangla yan nasaken kapares e,e,OTH,OTH
3045,160,3045,Diba nga sabi may covid sana iconsider mo yun dshil di naman nakalabas ng bahay dahil sa covid .,covid,OTH,OTH
3161,168,3161,May mga bagay na kailangang langkapan ng dagdag na responsibilidad .,May,FIL,FIL
3233,172,3233,"Ang pinsala sa mga pambansang tanggapan ay tinatayang nasa halos P2-bilyon , habang ang pinsala sa mga ahensya ng lalawigan ay tinatayang mas mababa sa P2 . 1-bilyon .",P2-bilyon,OTH,OTH
3250,172,3250,"Ang pinsala sa mga pambansang tanggapan ay tinatayang nasa halos P2-bilyon , habang ang pinsala sa mga ahensya ng lalawigan ay tinatayang mas mababa sa P2 . 1-bilyon .",1-bilyon,OTH,OTH
3303,175,3303,nakakahiya na nga mag vid sa pe tapos sa school gc pa ipapasa fuckjshsksjajaka saksakin nyo nalang ako,pe,OTH,OTH
3307,175,3307,nakakahiya na nga mag vid sa pe tapos sa school gc pa ipapasa fuckjshsksjajaka saksakin nyo nalang ako,gc,OTH,OTH
3330,176,3330,Ang mga mahistrado ay itinatalaga ng pangulo ayon sa mungkahi ng Panghukuman at konseho ng bar ng Pilipinas .,bar,ENG,ENG
3332,176,3332,Ang mga mahistrado ay itinatalaga ng pangulo ayon sa mungkahi ng Panghukuman at konseho ng bar ng Pilipinas .,Pilipinas,OTH,OTH
3445,182,3445,"Sobrang natuwa ako kasi sobrang accommodating nila at ang sumundo pa sakin ay yung thera na napili ko , si J . Ang pogi pala talaga nya lalo sa personal .",thera,OTH,OTH
3516,186,3516,"Sa written order , iniuutos ang agarang implementasyon ng moratorium sa DOE na tanging solusyon para sa pagkakaroon ng malinis na kapaligiran at masagip ang mga tao sa impak rising global temperatures .",DOE,OTH,OTH
3583,188,3583,Isinalarawan ni Senadora Leila de Lima na isang pagtokhang ang ginawang pagpatay sa prangkisa ng ABS-CBN .,ABS-CBN,OTH,OTH
3589,189,3589,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",fones,FIL,FIL
3593,189,3593,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",messages,ENG,ENG
3606,189,3606,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",cctv,OTH,OTH
3675,193,3675,"Sa caption ni Sharon sa Instagram , nagpayo siyang mahalin ng mga tao ang kanilang katawan .",Instagram,OTH,OTH
3700,194,3700,"wow yun ang sabaok , ganun ka pala baka pakitaan ko sila ng convo naten HAHAHA reply mo nga 3-5 words lang HAHAHAHAHAHA",convo,OTH,OTH
3760,198,3760,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Red,ENG,ENG
3761,198,3761,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Lions,ENG,ENG
3766,198,3766,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Blazers,ENG,ENG
3863,203,3863,Panay patugtog ng christmas songs ng kapitbahay .,christmas,ENG,ENG
3891,205,3891,"Sana nman wg u nang baratin mahirap po Gawain nila , tulong nlang Sana nyo sa Kanila , , SilA po Ang ninuno natin , Isa pa fresh mga binta nila , Kya wg nman baratin SilA , maawa nman kayo sa mga katutubo",u,OTH,OTH
3965,207,3965,Tagal ko ng di nakakanood sayo Tito Pepsi ngayun nalang Ulet miss ko manood Dito !,Pepsi,OTH,OTH
4085,212,4085,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kv,FIL,FIL
4088,212,4088,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,FIL
4089,212,4089,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kht,FIL,FIL
4094,212,4094,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,FIL
4098,212,4098,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,aq,FIL,FIL
4103,212,4103,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,FIL
4105,212,4105,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,aq,FIL,FIL
4107,212,4107,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kht,FIL,FIL
4146,215,4146,itigil na ang sugal .makontento sana tau sa ibinibigay ng Diyos .alam mo nman na kasalanan ang pagsusugal .dahil every sunday my fellowship kayu respeto nalng sa Diyos na nasa itaas,my,FIL,FIL
4177,216,4177,"Ayon sa Shell , Seaoil , Petrogazz at Cleanfuel , may taas na P0 . 45 sa bawat litro ng kanilang gasoline habang P0 . 30 naman ang dagdag sa bawat litro ng diesel .",gasoline,ENG,ENG
4189,216,4189,"Ayon sa Shell , Seaoil , Petrogazz at Cleanfuel , may taas na P0 . 45 sa bawat litro ng kanilang gasoline habang P0 . 30 naman ang dagdag sa bawat litro ng diesel .",diesel,ENG,ENG
4221,217,4221,"Ayon kay Alvin Enciso , hepe ng Customs Intelligence and Investigation Service ( CIIS ) sa MICP , ang pagpupuslit ng mga naturang sigarilyo sa bansa ay paglabag sa Section 1400 ng Customs Modernization and Tariff Act .",1400,OTH,OTH
4319,222,4319,"Kung hindi tayo mag ingat at mag experemento ulit at maniniwala sa mga pangako at sila lang daw ang may blueprint sa mga projects , THE PHILIPPINES WILL BE BACK TO ZERO AGAIN !",PHILIPPINES,OTH,OTH
4361,225,4361,Hangga't nanjan si Doque di ako naniniwala sa mga resulta ng daily covid cases report .,covid,OTH,OTH
4392,227,4392,"Bukod pa rito , nangahulugan ito na may pagkakataon na si Job na makuha ang pagsang-ayon ng Diyos , at sa gayon ay mas mapapalapit siya sa Diyos .",Diyos,FIL,FIL
4402,227,4402,"Bukod pa rito , nangahulugan ito na may pagkakataon na si Job na makuha ang pagsang-ayon ng Diyos , at sa gayon ay mas mapapalapit siya sa Diyos .",Diyos,FIL,FIL
4433,229,4433,sasama na ako kay Papa Jesus pag may bagsak akong grade,Papa,FIL,FIL
4434,229,4434,sasama na ako kay Papa Jesus pag may bagsak akong grade,Jesus,OTH,OTH
4439,229,4439,sasama na ako kay Papa Jesus pag may bagsak akong grade,grade,ENG,ENG
4566,236,4566,Bayaran kayo dapat patas ang laban kung maari hwag na kayong mag survey dahil alam na nang smartmatic ang mananalo,smartmatic,ENG,ENG
4601,238,4601,"bakit po minsan hindi gumagana ang chitin jump , at ang inaatake nya ay ang nasa unahan na axie ?",chitin,OTH,OTH
4638,241,4638,Boss d ang likod talaga ng camera man mo,d,FIL,FIL
4753,247,4753,"Yung babae na kasabay ko sa jeep na sinakyan ko , biglang hinablot ng lalaking lubak ang mukha at pAyat eh buti nga hindi nakuha yung phone sa babae .",jeep,ENG,ENG
4767,247,4767,"Yung babae na kasabay ko sa jeep na sinakyan ko , biglang hinablot ng lalaking lubak ang mukha at pAyat eh buti nga hindi nakuha yung phone sa babae .",eh,OTH,OTH
4873,254,4873,"Imaginine nyo , saan ko ilalagay ang 300 patients na yan ?",Imaginine,CS,CS
4892,256,4892,Baka yan pa ang ikamatay ko,Baka,FIL,FIL
4915,257,4915,Ang mga paunang ulat ay nagpapahiwatig na ang helikopter ay nag-crash sa mga burol sa itaas ng Calabasas sa mabibigat na ulap .,Calabasas,OTH,OTH
4987,260,4987,Tigil face-to-face class Hindi na rin pinayagan ni Pangulong Duterte ang face to face classes kaya nabuo ng Department of Education ang online at modular learning method para masiguro ang kaligtasan ng lahat ng mga estudyante sa bansa .,ang,FIL,FIL
5080,265,5080,Kung wala pwede po ba kayo gumawa ng tiktok account ?,tiktok,OTH,OTH
5086,266,5086,Bat parang nadedeja vu ako sa mga nangyayari ngaun ?,vu,OTH,OTH
5092,266,5092,Bat parang nadedeja vu ako sa mga nangyayari ngaun ?,?,OTH,OTH
5138,269,5138,cong wag kang papayat ha,cong,OTH,OTH
5142,269,5142,cong wag kang papayat ha,ha,OTH,OTH
5171,272,5171,Day 2 ng gagawin lahat except mag-aral,except,ENG,ENG
5243,277,5243,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",mag-alas-8,FIL,FIL
5256,277,5256,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",Commonwealth,ENG,ENG
5264,277,5264,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",Rotonda,OTH,OTH
5270,277,5270,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",alas-1,FIL,FIL
5376,282,5376,Kastress tong mga kailangan lakarin sa work ah ayoko na,ah,OTH,OTH
5393,283,5393,"Dapat talaga na matalino tayo sa pagboto , huwag magpaloko sa mabulaklak ang sinasabi , huwag agad-agad bibigay , kilalanin maigi .",",",OTH,OTH
5414,284,5414,"Ano ba ang problema mo at ang ingay-ingay mo , wika umano ni Ladia na sinagot naman ng biktima na bakit pag sinabi ko ba sayo masusulusyunan mo ?",Ladia,OTH,OTH
5432,285,5432,""" hindi ah , titingin ako hanggang sa taas "" sabi ko at tumingin sa kanya .",ah,OTH,OTH
5466,286,5466,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,ma,FIL,FIL
5467,286,5467,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sa,FIL,FIL
5528,288,5528,"We just try to make some momentum for our team , kasi mabilis lang ang conference and dikit ang standings , sabi ni Cabagnot na tinulungan ang Beermen sa kabuuang 30-15 atake sa ikatlong yugto matapos na maglaho ang 10-puntos na abante at kapitan ang 39-38 abante pagpasok ng ikatlong stanza .",10-puntos,FIL,FIL
5539,288,5539,"We just try to make some momentum for our team , kasi mabilis lang ang conference and dikit ang standings , sabi ni Cabagnot na tinulungan ang Beermen sa kabuuang 30-15 atake sa ikatlong yugto matapos na maglaho ang 10-puntos na abante at kapitan ang 39-38 abante pagpasok ng ikatlong stanza .",stanza,ENG,ENG
5722,301,5722,ang daring nmn ng kiss mo bb sa gabi na natin ituloy hehe,daring,ENG,ENG
5727,301,5727,ang daring nmn ng kiss mo bb sa gabi na natin ituloy hehe,bb,ENG,ENG
5785,305,5785,Heograpiya Ang kabuuang sukat ng Cotabato ay kilometro parisukat .,Cotabato,OTH,OTH
5881,310,5881,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",unica,OTH,OTH
5882,310,5882,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",hija,OTH,OTH
5883,310,5883,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",na,FIL,FIL
5909,312,5909,Ang buong team payaman ang naging Go To videos ko lalo na yung kasagsagan ng pandemic napanood ko ata lahat ng buong videos ni cong .,payaman,FIL,FIL
5930,312,5930,Ang buong team payaman ang naging Go To videos ko lalo na yung kasagsagan ng pandemic napanood ko ata lahat ng buong videos ni cong .,cong,OTH,OTH
6013,318,6013,Wla ng bukang bibig etong c Karen kundi ang tungkol ky apo lakay pinipilit tlga nia ung pghingi ng sorry sa lhat ng iniinterview nia solid BIAS ang babaebg eto,lakay,FIL,FIL
6073,322,6073,"Wag nyo q kausapin , ang broke ko .",kausapin,FIL,FIL
6074,322,6074,"Wag nyo q kausapin , ang broke ko .",",",OTH,OTH
6076,322,6076,"Wag nyo q kausapin , ang broke ko .",broke,ENG,ENG
6077,322,6077,"Wag nyo q kausapin , ang broke ko .",ko,FIL,FIL
6078,322,6078,"Wag nyo q kausapin , ang broke ko .",.,OTH,OTH
6220,326,6220,Dapat lagyan ng isang lugar lang na pwede silang mag tinda at hindi pakalat kalat . bigyan sila ng ticket sa city hall para sa tax kisa sila na nga ang nakakadumi ng manila tapos hindi pa nag babayad ng buwis,manila,OTH,OTH
6222,326,6222,Dapat lagyan ng isang lugar lang na pwede silang mag tinda at hindi pakalat kalat . bigyan sila ng ticket sa city hall para sa tax kisa sila na nga ang nakakadumi ng manila tapos hindi pa nag babayad ng buwis,hindi,FIL,FIL
