,sentence_id,word_id,sentence,word,annotation_0,annotation_1
5539,288,5539,"We just try to make some momentum for our team , kasi mabilis lang ang conference and dikit ang standings , sabi ni Cabagnot na tinulungan ang Beermen sa kabuuang 30-15 atake sa ikatlong yugto matapos na maglaho ang 10-puntos na abante at kapitan ang 39-38 abante pagpasok ng ikatlong stanza .",stanza,FIL,ENG
5722,301,5722,ang daring nmn ng kiss mo bb sa gabi na natin ituloy hehe,daring,ENG,FIL
5727,301,5727,ang daring nmn ng kiss mo bb sa gabi na natin ituloy hehe,bb,OTH,ENG
5785,305,5785,Heograpiya Ang kabuuang sukat ng Cotabato ay kilometro parisukat .,Cotabato,FIL,OTH
5881,310,5881,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",unica,OTH,FIL
5882,310,5882,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",hija,OTH,FIL
5883,310,5883,"Katulad ng ibang pagdiriwang ng birthday parties ngayon , wala rin kaibahan ang ginawa ng mag-asawang Dingdong Dantes at Marian Rivera para sa kanilang napakagandang unica hija na si Zia Dantes .",na,OTH,FIL
5909,312,5909,Ang buong team payaman ang naging Go To videos ko lalo na yung kasagsagan ng pandemic napanood ko ata lahat ng buong videos ni cong .,payaman,OTH,FIL
5930,312,5930,Ang buong team payaman ang naging Go To videos ko lalo na yung kasagsagan ng pandemic napanood ko ata lahat ng buong videos ni cong .,cong,FIL,OTH
6013,318,6013,Wla ng bukang bibig etong c Karen kundi ang tungkol ky apo lakay pinipilit tlga nia ung pghingi ng sorry sa lhat ng iniinterview nia solid BIAS ang babaebg eto,lakay,FIL,OTH
6073,322,6073,"Wag nyo q kausapin , ang broke ko .",kausapin,FIL,OTH
6074,322,6074,"Wag nyo q kausapin , ang broke ko .",",",OTH,FIL
6076,322,6076,"Wag nyo q kausapin , ang broke ko .",broke,ENG,FIL
6077,322,6077,"Wag nyo q kausapin , ang broke ko .",ko,FIL,OTH
6078,322,6078,"Wag nyo q kausapin , ang broke ko .",.,OTH,FIL
6220,326,6220,Dapat lagyan ng isang lugar lang na pwede silang mag tinda at hindi pakalat kalat . bigyan sila ng ticket sa city hall para sa tax kisa sila na nga ang nakakadumi ng manila tapos hindi pa nag babayad ng buwis,manila,ENG,OTH
6222,326,6222,Dapat lagyan ng isang lugar lang na pwede silang mag tinda at hindi pakalat kalat . bigyan sila ng ticket sa city hall para sa tax kisa sila na nga ang nakakadumi ng manila tapos hindi pa nag babayad ng buwis,hindi,ENG,FIL
